item_name,platinum,quantity,seller
Secura Dual Cestra,29,1,Killer2611992
Creeping Bullseye,5,1,Yuuuuuuuuuki
Mutalist Alad V Assassinate (Key),10,12,phantasmalwordsmith
Irradiating Disarm,10,1,alephnull2
Antimatter Absorb,10,1,Viccaden
Arcane Barrier,7,1,-Kensey-
Arcane Ice,1,1,Sylvdrop
Telos Boltor,25,1,Kycklinggull1
Frost Prime Set,90,1,ephenk
Catalyzer Link,3,2,Ahtih12
Targeting Subsystem,10,1,joacoelalfa
Strun Wraith Receiver,9,1,Monosteffer7324
Tectonic Fracture,8,1,Narutinn
Mantis Set,14,1,luiz_eduardo
Acid Shells,22,4,Angeluslul
Nightwatch Napalm,18,3,HappiNakir
Quasar Drill,5,1,Yishi_
Comet Blast,5,1,Esi_of_Hasir
Nebula Bore,5,1,Esi_of_Hasir
Kaszas Blade,9,1,Monosteffer7324
Secura Dual Cestra,29,1,Killer2611992
Creeping Bullseye,5,1,Yuuuuuuuuuki
Mutalist Alad V Assassinate (Key),10,12,phantasmalwordsmith
Irradiating Disarm,10,1,alephnull2
Antimatter Absorb,10,1,Viccaden
Arcane Barrier,7,1,-Kensey-
Arcane Ice,1,1,Sylvdrop
Telos Boltor,25,1,Kycklinggull1
Frost Prime Set,90,1,ephenk
Catalyzer Link,3,2,Ahtih12
Targeting Subsystem,10,1,joacoelalfa
Strun Wraith Receiver,9,1,Monosteffer7324
Tectonic Fracture,8,1,Narutinn
Mantis Set,14,1,luiz_eduardo
Acid Shells,22,4,Angeluslul
Nightwatch Napalm,18,3,HappiNakir
Quasar Drill,5,1,Yishi_
Comet Blast,5,1,Esi_of_Hasir
Nebula Bore,5,1,Esi_of_Hasir
Kaszas Blade,9,1,Monosteffer7324
Velocitus Receiver,9,1,WekroM
Fluctus Barrel,9,1,Riddancex8
Fluctus Limbs,8,1,WekroM
Fluctus Stock,8,1,WekroM
Decurion Barrel,9,1,IFEELBLOOD
Hydroid Prime Set,90,3,lllood
Cleanse Orokin,25,2,zzzyolozzz
Kappa Beacon,80,4,LondoTheGreat
Star Crimzian,1,50,Orth
Virtuos Strike,3,10,ShadowMageAlpha
Hunter Adrenaline,4,1,WekroM
Viper Wraith,54,55,KxFRESH
Infested Ship Bridge Scene,199,1,Bartyde
Lua Nursery Scene,149,1,Bartyde
Corpus Gas City Conduit Scene,149,1,Bartyde
Grineer Settlement Reactor Scene,199,1,Bartyde
Corpus Ice Planet Wreckage Scene,149,1,Bartyde
Eidolon Madurai Lens,20,10,Lysiohn
Eidolon Vazarin Lens,20,1,Meshocheck
Eidolon Unairu Lens,15,1,norigamiwolf
Zephyr Prime Chassis Blueprint,7,2,Setsuna_x3
Pax Soar,15,5,Orth
Redeemer Prime Blade,3,1,LaMambaBamba
Akjagara Prime Receiver,7,1,GranitKislota
Spectrosiphon,14,1,Ragnargh
Zhuge Prime Grip,5,1,NicknameLB
Quick Thinking,4,2,sleepcall
Kinetic Diversion,10,1,nihilucid
Superior Defenses,5,1,Big-Life
Fast Hands,8,1,Kanekiwi8
Vaporize,3,60,BiNGO-BAG
Rifle Ammo Mutation,5,1,SpreadThatBootyhole
Imperator Vandal Barrel,10,1,RealSamurai
Loki Prime Systems Blueprint,29,1,everbus
Shotgun Savvy,10,17,Uqueijodechocolate
Secura Dual Cestra,29,1,Killer2611992
Creeping Bullseye,5,1,Yuuuuuuuuuki
Mutalist Alad V Assassinate (Key),10,12,phantasmalwordsmith
Irradiating Disarm,10,1,alephnull2
Antimatter Absorb,10,1,Viccaden
Arcane Barrier,7,1,-Kensey-
Arcane Ice,1,1,Sylvdrop
