item_name,platinum,quantity,seller
Arcane Ice,1,1,Sylvdrop
Arcane Ice,1,1,Sylvdrop
Star Crimzian,1,50,Orth
Arcane Ice,1,1,Sylvdrop
Star Crimzian,1,50,Orth
Power Throw,1,31,Erodori
Point Strike,1,1,Lyfidious
Crossing Snakes,1,1,ArtemisMagus
Marquise Veridos,1,37,WhiteWolfhz
Pistol Gambit,1,52,ToxicZombie2008
Coiling Viper,1,5,Erodori
Fracturing Wind,1,10,Big-Life
Ammo Drum,1,25,ChicaoInsano
Pressure Point,1,620,BiNGO-BAG
Smooth Phasmin,1,59,CentrelinkCrusader
Vulpine Mask,1,3,ArtemisMagus
Zaw Riven Mod (Veiled),1,2,Bives27
Intruder,1,6,lostdoge08
Trick Mag,1,9,lostdoge08
Calculated Redirection,1,9,lostdoge08
Accelerated Deflection,1,3,Ryuooki
Thumper,1,17,lostdoge08
Vitality,1,13,lostdoge08
Gaia's Tragedy,1,10,Erodori
Redirection,1,12,lostdoge08
Ammo Case,1,16,lostdoge08
Star Amarast,1,334,Nerine_Radiata
Assault Mode,1,16,lostdoge08
Heavy Trauma,1,4,Ryuooki
Flow,1,2,asdlkj.
Regen,1,10,lostdoge08
Flux Overdrive,1,6,ArkIsHere
Bronco Prime Receiver,1,1,Larizzl
Burston Prime Stock,1,1,TheBassWarrior
Rupture,1,11,lostdoge08
Organ Shatter,1,12,lostdoge08
Orvius Disc,1,49,alterror1
Scimitar Engines Blueprint,1,1,borritoeater69
Accelerated Blast,1,3,Soulgeking
Reach,1,9,lostdoge08
Tear Azurite,1,50,Orth
Ayatan Cyan Star,1,24,Jab_Nin
Melee Prowess,1,100,Big-Life
Quickdraw,1,13,lostdoge08
Heart Noctrul,1,150,CentrelinkCrusader
Esher Devar,1,50,Orth
Shield Charger,1,7,ArtemisMagus
Paris Prime String,1,1,TheBassWarrior
Paris Prime Upper Limb,1,1,Silent-Lamb
Gunslinger,1,10,Big-Life
Afterburner,1,5,PigsHaveGreatExpectation
Damaged Necramech Weapon Pod,1,6,kazemon
Faceted Tiametrite,1,70,Schizobia
Fang Prime Blueprint,1,2,Larizzl
Braton Prime Blueprint,1,1,PresidentBacon
Combustion Beam,1,2,AB10T1C
Purified Heciphron,1,63,Nerine_Radiata
Revenge,1,24,lostdoge08
Burdened Magazine,1,5,Erodori
Goblite Tears,1,114,CentrelinkCrusader
Overloader,1,7,lostdoge08
Damaged Necramech Casing,1,3,MangoMento
Purged Dagonic,1,80,Schizobia
Voidrig Casing,1,1,borritoeater69
Voidrig Capsule,1,1,borritoeater69
Voidrig Weapon Pod,1,1,borritoeater69
Barbisteo,1,32,CentrelinkCrusader
Kymaeros,1,21,EddyC
Amniophysi,1,26,CentrelinkCrusader
Lobotriscid,1,24,HumanVolt
Mirewinder,1,20,EddyC
Echowinder,1,31,CentrelinkCrusader
Scrubber,1,11,EddyC
Tink,1,20,CentrelinkCrusader
Secondary Merciless,1,3,ATA_Seco75
Secondary Dexterity,1,23,MrFortyseven
Secondary Deadhead,1,27,Jenesko
Primary Deadhead,1,100,Skrelpy25
Primary Dexterity,1,2,ATA_Seco75
Ambassador Barrel,1,18,ExplodingOwlbear
Ambassador Receiver,1,26,ExplodingOwlbear
Ambassador Stock,1,6,-LAC-GamingG0d007
