Login,Anmelden
login,anmelden
Search,Suchen
Profile,Profil
Patchnotes,Patchnotizen
Stats,Statistiken
Docs,Doku
Counters,Konter
Summonername,Beschwörername
Summoner,Beschwörer
tag,tag
team name,teamname
Tier,Rang
Loading,Lade
Player,Spieler
History,Verlauf
Advertisement,Placeholder
Suggested Bans,Empfohlene Banns
Voting is only available for %slogged-in%s users,Das Bewerten ist nur %seingeloggten%s Benutzern möglich
This is your current identity and color for others. To customize it please,Dies ist deine Identität und Farbe für andere. Zum Individualisieren bitte
Click to Copy URL,Anklicken zum URL kopieren
Championname,Championname
"Whoops, did you mistype?","Huch, hast du dich verschrieben?"
Queued as,Ausgewählt
Position(s),Position(en)
Avg. Score,Ø-Wertung
Ranked Flex,Rangliste Flex
Ranked Solo/Duo,Rangliste Solo/Duo
Clash,Clash
Unranked,Ohne Rang
Iron,Eisen
Bronze,Bronze
Silver,Silber
Gold,Gold
Platinum,Platin
Diamond,Diamant
Master,Meister
Grandmaster,Großmeister
Challenger,Herausforderer
WR,SR
Games,Spiele
MVP,#1
Dragonkiller,Drachentöter
Newly,Neuling
Invader,Plünderer
Lowbob,Knecht
Captain,Kapitän
Premate,Mitspieler
Test,Test
1 minute ago,vor einer Minute
%d minutes ago,vor %d Minuten
1 hour ago,vor einer Stunde
%d hours ago,vor %d Stunden
1 day ago,vor einem Tag
%d days ago,vor %d Tagen
1 month ago,vor einem Monat
%d months ago,vor %d Monaten
1 year ago,vor einem Jahr
%d years ago,vor %d Jahren
Handshake successful: Server received client request and answered.,Handschlag erfolgreich: Server erhielt Klientenanfrage und antwortete.
joined the session.,trat der Sitzung bei.
(You) joined the session.,(Du) ist der Sitzung beigetreten.
joined the room.,trat dem Raum bei.
(You) joined the room.,(Du) ist dem Raum beigetreten.
left the session.,verließ die Sitzung.
left the room.,hat den Raum verlassen.
added %1.,hat %1 hinzugefügt.
removed %1.,hat %1 entfernt.
swapped %1 with %2.,tauschte %1 mit %2.
locked %1.,hat %1 gesperrt.
unlocked %1.,hat %1 entsperrt.
Lock Ban,Bann sperren
Unlock Ban,Bann entsperren
Impressum,Impressum
Datenschutzerklärung,Datenschutzerklärung
ClashScout.com isn't endorsed by Riot Games and doesn't reflect the views or opinions of Riot Games or anyone officially involved in producing or managing Riot Games properties.,"ClashScout.com wird nicht von Riot Games unterstützt und spiegelt nicht die Ansichten oder Meinungen von Riot Games oder anderen Personen wider, die offiziell an der Produktion oder Verwaltung von Riot Games-Eigentum beteiligt sind."
"Riot Games, and all associated properties are trademarks or registered trademarks of Riot Games, Inc.","Riot Games und alle damit verbundenen Eigentumsrechte sind Warenzeichen oder eingetragene Warenzeichen von Riot Games, Inc."
R,R
W,S
L,N
Solo/Duo,Solo/Duo
Flex,Flex
Clash,Clash
KDA,KTU
Score,Wertung
KP,KB
Dealt,Verursacht
Tanked,Eingesteckt
Shealed,Schildheilt
Objs,Obj
CS,TW
V-Score,Sichtwertung
Expand all matches,Erweitere alle Matches
Additional setting,Weitere Einstellung
First Rotation,Erste Rotation
Second Rotation,Zweite Rotation
This player did not queue on their main position,Dieser Spieler hat nicht seine Hauptposition ausgewählt
Smurf,Schlumpf
Platings,Platten
Played With,Gespielt Mit
Category,Kategorie
Addition,Addition
Explanation,Erklärung
"Highest Mastery","Höchste Meisterschaft"
"Total Team Mastery","Gesamte Team-Meisterschaft"
"Capable Player","Fähige Spieler"
"Matching Laners","Übereinstimmende Laner"
"Last Played","Zuletzt Gespielt"
Occurences,Vorkommnisse
"Average Matchscore","Durchschnittliche Spielwertung"
Finalscore,Finalwertung
"A player achieved a mastery score of","Ein Spieler erreichte Meisterschaftspunkte in Höhe von"
"on","mit"
"This team has a combined mastery score of","Dieses Team hat kombinierte Meisterschaftspunkte in Höhe von"
"summoner of this team is able to play","Beschwörer von diesem Team beherrscht"
"summoners of this team are able to play","Beschwörer von diesem Team beherrschen"
"players are able to perform with","Spieler beherrschen"
"while matching lanes","während sich die gespielten Lanes überschneiden"
"The last time someone played","Zuletzt gespielt wurde"
"was","vor"
"is","ist"
"was played","tauchte"
"over a year ago","über einem Jahr"
"over 6 months ago","über 6 Monaten"
"over 3 months ago","über 3 Monaten"
"over a month ago","über einem Monat"
"over two weeks ago","über zwei Wochen"
"under two weeks ago","unter zwei Wochen"
"times","mal"
"once","einmal"
"in the teams","in den vereinten"
"unique fetched Ranked or Clash games","einzeln abgerufenen Ranglisten oder Clash Spielen auf"
"The average matchscore achieved on","Die durchschnittlich erreichte Spielwertung auf"
"Graphs & Formulas","Graphen & Formulare"
"Winrate","Siegesrate"
"Moderately high probability","Moderat hohe Wahrscheinlichkeit"
"Low probability","Niedrige Wahrscheinlichkeit"
"Very high probability","Sehr hohe Wahrscheinlichkeit"
"Game length below minimum of 10min","Spieldauer unter Minimum von 10min"
"Average Matchscore of all ranked & clash games (without remakes or <10min games)","Durchschnittliche Wertung von allen Ranglisten- oder Clashspielen (Ohne Remakes oder <10min Spiele)"
"adjScoreTooltipMargin","-mt-24"
"This is a test translation for %s","Das ist ein Übersetzungstest für %s"
"It was: ","Es war: "
"Difficulty: ","Schwierigkeit: "
"Easy","Einfach"
"Medium","Mittel"
"Hard","Schwer"
"Bonus Points: ","Bonuspunkte: "
"Points: ","Punkte: "
"Users inside this room:","Nutzer in diesem Raum:"
"Copy Invite Link","Einladungslink kopieren"
"invLink","min-w-[18rem]"
"Copied","Kopiert"
"You","Du"
"guessed the correct answer: %1","hat die richtige Antwort erraten: %1"
"Leaderboard:","Bestenliste:"
"%s more likely to take down drakes","%s wahrscheinlicher an Drachentötungen beteiligt zu sein"
"%s less likely to take down drakes","%s unwahrscheinlicher an Drachentötungen beteiligt zu sein"
"The KDA of this player is %s better than usual","Die KTU dieses Spielers ist um %s besser als üblich"
"The KDA of this player is %s worse than usual","Die KTU dieses Spielers ist um %s schlechter als üblich"
"%s better kill participation than usual","%s bessere Killbeteiligung als üblich"
"%s worse kill participation than usual","%s schlechtere Killbeteiligung als üblich"
"%s more likely to take down heralds","%s wahrscheinlicher, Herolde zu erlegen"
"%s less likely to take down heralds","%s unwahrscheinlicher, Herolde zu erlegen"
"Dodges %s more often","Weicht %s öfter Fähigkeiten aus"
"Gets hit %s more often","Wird %s öfter getroffen"
"Hits %s more skillshots","Trifft %s öfter Skillshots"
"Misses %s more skillshots","Verfehlt %s öfter Skillshots"
"%s more takedowns than usual","%s mehr Tötungen als üblich"
"%s less takedowns than usual","%s weniger Tötungen als üblich"
"%s more turret plates taken","Bekommt durchschnittlich %s mehr Turmplatten"
"%s fewer turret plates taken","Bekommt durchschnittlich %s weniger Turmplatten"
"%s more turrets demolished than usual","Zerstört %s mehr Türme als üblich"
"%s fewer turrets demolished than usual","Zerstört %s weniger Türme als üblich"
"Eliminates %s more wards than usual","Eliminiert %s mehr Wards als üblich"
"Clears %s less wards than usual","Beseitigt %s weniger Wards als üblich"
"Protects %s more wards than usual","Beschützt %s mehr Wards als üblich"
"Ignores enemies trying to take down wards %s more likely","%s wahrscheinlicher, Feinde zu ignorieren, die versuchen, Wards zu zerstören"
"Playstyle is %s more assist-heavy","Spielstil ist um %s unterstützungslastiger"
"Playstyle is %s less assist-heavy","Spielstil ist um %s unterstützungsärmer"
"%s more frequent consumable purchases","%s häufigere Verwendung von konsumierbaren Gegenständen"
"%s less frequent consumable purchases","%s seltenere Verwendung von konsumierbaren Gegenstände"
"%s higher damage to buildings","Verursacht %s mehr Schaden an Gebäuden als üblich"
"%s lower damage to buildings","Verursacht %s weniger Schaden an Gebäuden als üblich"
"%s higher objective damage","Verursacht %s mehr Schaden an Zielen als üblich"
"%s lower objective damage","Verursacht %s weniger Schaden an Zielen als üblich"
"%s more self-mitigated damage","Hat %s mehr selbst abgewehrter Schaden als üblich"
"%s less self-mitigated damage","Hat %s weniger selbst abgewehrter Schaden als üblich"
"%s fewer deaths","%s weniger Tode"
"%s more deaths","%s mehr Tode"
"%s more detector wards placed","%s mehr Kontroll-Augen zur Entdeckung platziert"
"%s less detector wards placed","%s weniger Kontroll-Augen zur Entdeckung platziert"
"%s more gold earned","Verdient %s mehr Gold als üblich"
"%s less gold earned","Verdient %s weniger Gold als üblich"
"%s more successful inhibitor takedowns","%s erfolgreichere Inhibitor-Eroberungen"
"%s more failed inhibitor takedowns","%s häufiger fehlgeschlagene Inhibitor-Eroberungen"
"%s more kills","%s mehr Kills"
"%s fewer kills","%s weniger Kills"
"%s more neutral objectives killed (Scuttles, Dragons, Barons, Heralds)","%s mehr neutrale Ziele erlegt (Krabben, Drachen, Barone, Herolde)"
"%s more likely to neglect neutral objectives (Scuttles, Dragons, Barons, Heralds)","%s wahrscheinlicher, neutrale Ziele zu vernachlässigen (Krabben, Drachen, Barone, Herolde)"
"%s higher damage to champions","Verursacht %s mehr Schaden an Champions als üblich"
"%s lower damage to champions","Verursacht %s weniger Schaden an Champions als üblich"
"%s more damage shielded on teammates","Schirmt %s mehr Schaden auf Teamkollegen ab als üblich"
"%s less damage shielded on teammates","Schirmt %s weniger Schaden auf Teamkollegen ab als üblich"
"%s more damage taken","Erhält %s mehr Schaden"
"%s fewer damage taken","Erhält %s weniger Schaden"
"%s more heals on teammates","Heilt Teamkollegen %s mehr als üblich"
"%s less heals on teammates","Heilt Teamkollegen %s weniger als üblich"
"%s more minion kills","Tötet %s mehr Vasallen"
"%s fewer minion kills","Tötet %s weniger Vasallen"
"%s more crowd controlling","%s mehr Beeinflussung von Gegnern durch Massenkontrolle"
"%s less crowd controlling","%s weniger Beeinflussung von Gegnern durch Massenkontrolle"
"Time spent dead is %s longer/higher","Die Todeszeit ist um %s länger/höher"
"Time spent dead is %s shorter/lower","Die Todeszeit ist um %s kürzer/niedriger"
"Vision score is %s higher","Die Sichtwertung ist um %s höher"
"Vision score is %s lower","Die Sichtwertung ist um %s niedriger"
"Places %s more wards","Platziert %s mehr Wards"
"Places %s fewer wards","Platziert %s weniger Wards"
"Dragonmaster","Drachenmeister"
"Dragonfumbler","Drachenversager"
"K/DA","K/TU"
"Careless","Sorglos"
"Relevant","Relevant"
"Irrelevant","Irrelevant"
"Harbinger","Vorbote"
"Scared","Ängstlich"
"Evasive","Ausweichend"
"Target","Zielscheibe"
"Precision","Präzision"
"One-Eyed","Einäugig"
"Slayer","Killer"
"Retired","In Rente"
"Hammer","Hammer"
"Hesitator","Zögerlich"
"Sieger","Belagerer"
"Bystander","Zuschauer"
"Obfuscator","Verschleierer"
"Flare","Lichtsignal"
"Protector","Beschützer"
"Eye-Opener","Augeneröffner"
"Advocate","Befürworter"
"Loner","Einzelgänger"
"Prepared","Vorbereitet"
"Ill","Krank"
"Demolisher","Zerstörer"
"Architect","Architekt"
"Controller","Steuerung"
"Primate","Primat"
"Mitigator","Abschwächer"
"Amplifier","Verstärker"
"Survivor","Überlebender"
"Fragile","Zerbrechlich"
"Detector","Detektor"
"Thriftly","Sparfuchs"
"Hoarder","Horter"
"Broke","Pleite"
"Conqueror","Eroberer"
"Struggler","Kämpfer"
"Killer","Mörder"
"Pacifist","Friedensapostel"
"Advantage","Vorteil"
"Null","Null"
"Chainsaw","Kettensäge"
"Cautious","Vorsichtig"
"Angel","Engel"
"Neglectful","Fahrlässig"
"Soaker","Einweicher"
"Porcelain","Porzellan"
"Nurse","Pfleger"
"Mortician","Bestatter"
"Collector","Sammler"
"Sparing","Ersparend"
"Crowd Controller","Mengen-Kontrolleur"
"Crowd Avoider","Mengen-Vermeider"
"AFK","AFK"
"Undead","Untot"
"Visionary","Visionär"
"Blind","Blind"
"Planter","Gärtner"
"Lazy","Faul"
"Two-Colored Tags","Zweifarbige Tags"
"'Search Teams, Players or Champions'","'Suche Teams, Spieler oder Champions'"
"Settings","Einstellungen"
"TY for Premium!","Danke für Premium!"
"Recently Searched","Zuletzt Gesucht"
"Are you a human?","Bist du ein Mensch?"
