Login,Login
login,login
Search,Search
Profile,Profile
Patchnotes,Patchnotes
Stats,Stats
Docs,Docs
Counters,Counters
Summonername,Summonername
Tag,Tag
Team Name,Team Name
Tier,Tier
History,History
Advertisement,Placeholder
Suggested Bans,Suggested Bans
Voting is only available for %slogged-in%s users,Voting is only available for %slogged-in%s users
This is your current identity and color for others. To customize it please,This is your current identity and color for others. To customize it please
Click to Copy URL,Click to Copy URL
Championname,Championname
"Whoops, did you mistype?","Whoops, did you mistype?"
Queued as,Queued as
Position(s),Position(s)
Avg. Score, Avg. Score
Ranked Flex,Ranked Flex
Ranked Solo/Duo,Ranked Solo/Duo
Clash,Clash
Unranked,Unranked
Iron,Iron
Bronze,Bronze
Silver,Silver
Gold,Gold
Platinum,Platinum
Diamond,Diamond
Master,Master
Grandmaster,Grandmaster
Challenger,Challenger
WR,WR
Games,Games
MVP,MVP
Dragonkiller,Dragonkiller
Newly,Newly
Invader,Invader
Lowbob,Lowbob
Captain,Captain
Premate,Premate
Test,Test
1 minute ago,1 minute ago
%d minutes ago,%d minutes ago
1 hour ago,1 hour ago
%d hours ago,%d hours ago
1 day ago,1 day ago
%d days ago,%d days ago
1 month ago,1 month ago
%d months ago,%d months ago
1 year ago,1 year ago
%d years ago,%d years ago
Handshake successful: Server received client request and answered.,Handshake successful: Server received client request and answered.
joined the session.,joined the session.
left the session.,left the session.
added %1.,added %1.
removed %1.,removed %1.
swapped %1 with %2.,swapped %1 with %2.
Impressum,Legal Notice
Datenschutzerklärung,Privacy Policy
ClashScout.com isn't endorsed by Riot Games and doesn't reflect the views or opinions of Riot Games or anyone officially involved in producing or managing Riot Games properties.,ClashScout.com isn't endorsed by Riot Games and doesn't reflect the views or opinions of Riot Games or anyone officially involved in producing or managing Riot Games properties.
"Riot Games, and all associated properties are trademarks or registered trademarks of Riot Games, Inc.","Riot Games, and all associated properties are trademarks or registered trademarks of Riot Games, Inc."
R,R
W,W
L,L
Solo/Duo,Solo/Duo
Flex,Flex
Clash,Clash
KDA,KDA
Score,Score
KP,KP
Dealt,Dealt
Tanked,Tanked
Shealed,Shealed
Objs,Objs
CS,CS
V-Score,V-Score
Expand all matches,Expand all matches
Additional setting,Additional setting
Queued as,Queued
"adjScoreTooltipMargin",""
"invLink",""
